gps_point,dbh,type,dead,species
61,30,Q. crispula,TRUE,Quercus crispula Blume
62,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
62,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
62,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
62,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
62,10,Broadleaves,FALSE,Aesculus turbinata Blume
62,10,Broadleaves,FALSE,Aesculus turbinata Blume
62,50,Broadleaves,FALSE,Aesculus turbinata Blume
62,50,Broadleaves,FALSE,Aesculus turbinata Blume
62,10,Broadleaves,FALSE,Aesculus turbinata Blume
62,50,Q. crispula,FALSE,Quercus crispula Blume
65,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
65,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
65,10,Broadleaves,FALSE,Pterocarya rhoifolia Siebold et Zucc.
65,10,Broadleaves,FALSE,Pterocarya rhoifolia Siebold et Zucc.
65,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
65,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
65,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
65,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
65,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
65,30,Q. crispula,TRUE,Quercus crispula Blume
65,30,Q. crispula,TRUE,Quercus crispula Blume
65,30,Q. crispula,TRUE,Quercus crispula Blume
66,50,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
66,30,Q. crispula,TRUE,Quercus crispula Blume
66,30,Q. crispula,TRUE,Quercus crispula Blume
66,30,Q. crispula,TRUE,Quercus crispula Blume
66,30,Q. crispula,TRUE,Quercus crispula Blume
66,30,Q. crispula,TRUE,Quercus crispula Blume
66,10,Q. crispula,TRUE,Quercus crispula Blume
66,30,Q. crispula,FALSE,Quercus crispula Blume
66,10,Q. crispula,TRUE,Quercus crispula Blume
66,10,Broadleaves,FALSE,Broadleavess spp.
67,30,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
67,10,F. crenata,FALSE,Fagus crenata Blume
67,10,F. crenata,FALSE,Fagus crenata Blume
67,30,F. crenata,FALSE,Fagus crenata Blume
67,10,F. crenata,FALSE,Fagus crenata Blume
67,10,F. crenata,FALSE,Fagus crenata Blume
67,10,Broadleaves,FALSE,Magnolia obovata Thunb.
67,10,Broadleaves,FALSE,Magnolia obovata Thunb.
67,30,Q. crispula,TRUE,Quercus crispula Blume
67,30,Q. crispula,TRUE,Quercus crispula Blume
68,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
68,50,Q. crispula,TRUE,Quercus crispula Blume
68,30,Q. crispula,TRUE,Quercus crispula Blume
68,50,Q. crispula,TRUE,Quercus crispula Blume
68,30,Q. crispula,TRUE,Quercus crispula Blume
68,30,Q. crispula,TRUE,Quercus crispula Blume
69,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
69,10,Broadleaves,FALSE,Tilia maximowicziana Shiras.
69,10,Broadleaves,FALSE,Tilia maximowicziana Shiras.
69,10,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
69,50,Broadleaves,FALSE,Aesculus turbinata Blume
69,30,Broadleaves,FALSE,Aesculus turbinata Blume
69,30,Broadleaves,FALSE,Magnolia obovata Thunb.
69,30,Q. crispula,FALSE,Quercus crispula Blume
69,30,Q. crispula,FALSE,Quercus crispula Blume
69,10,Q. crispula,FALSE,Quercus crispula Blume
69,30,Q. crispula,FALSE,Quercus crispula Blume
69,30,Q. crispula,TRUE,Quercus crispula Blume
69,50,Q. crispula,FALSE,Quercus crispula Blume
70,30,Broadleaves,FALSE,Cerasus leveilleana (Koehne) H.Ohba
70,10,Broadleaves,FALSE,Cerasus leveilleana (Koehne) H.Ohba
70,10,Broadleaves,FALSE,Cerasus leveilleana (Koehne) H.Ohba
70,10,Broadleaves,FALSE,Acer japonicum Thunb.
70,30,F. crenata,FALSE,Fagus crenata Blume
70,10,F. crenata,FALSE,Fagus crenata Blume
70,10,F. crenata,FALSE,Fagus crenata Blume
70,30,F. crenata,FALSE,Fagus crenata Blume
70,50,Q. crispula,TRUE,Quercus crispula Blume
70,30,Q. crispula,FALSE,Quercus crispula Blume
70,30,Q. crispula,TRUE,Quercus crispula Blume
70,10,Q. crispula,TRUE,Quercus crispula Blume
70,10,Q. crispula,TRUE,Quercus crispula Blume
70,10,Q. crispula,TRUE,Quercus crispula Blume
71,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
71,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
71,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
71,10,Broadleaves,FALSE,Tilia maximowicziana Shiras.
71,10,Broadleaves,FALSE,Tilia maximowicziana Shiras.
71,30,Broadleaves,FALSE,Aesculus turbinata Blume
71,30,Broadleaves,FALSE,Magnolia obovata Thunb.
71,30,Broadleaves,FALSE,Magnolia obovata Thunb.
71,30,Q. crispula,TRUE,Quercus crispula Blume
71,30,Q. crispula,TRUE,Quercus crispula Blume
71,10,Q. crispula,TRUE,Quercus crispula Blume
71,30,Q. crispula,TRUE,Quercus crispula Blume
71,10,Q. crispula,TRUE,Quercus crispula Blume
71,10,Q. crispula,TRUE,Quercus crispula Blume
71,10,Q. crispula,TRUE,Quercus crispula Blume
71,30,Q. crispula,TRUE,Quercus crispula Blume
71,10,Q. crispula,TRUE,Quercus crispula Blume
72,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
72,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
72,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
72,30,Broadleaves,FALSE,Castanea crenata Siebold et Zucc.
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,30,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,30,Q. crispula,TRUE,Quercus crispula Blume
72,30,Q. crispula,TRUE,Quercus crispula Blume
72,30,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,10,Q. crispula,TRUE,Quercus crispula Blume
72,30,Q. crispula,TRUE,Quercus crispula Blume
72,10,Broadleaves,FALSE,Cornus kousa Buerger ex Hance  subsp. kousa
72,10,Broadleaves,FALSE,Cornus kousa Buerger ex Hance  subsp. kousa
72,10,Broadleaves,FALSE,Cornus kousa Buerger ex Hance  subsp. kousa
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
73,30,Q. crispula,TRUE,Quercus crispula Blume
73,10,Q. crispula,TRUE,Quercus crispula Blume
73,30,Q. crispula,TRUE,Quercus crispula Blume
73,10,Broadleaves,FALSE,Alnus hirsuta (Spach) Turcz. ex Rupr.  var. sibirica (Spach) C.K.Schneid.
73,10,Broadleaves,FALSE,Broadleavess spp.
73,10,Broadleaves,FALSE,Broadleavess spp.
73,10,Broadleaves,FALSE,Broadleavess spp.
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,10,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,C. japonica,FALSE,Cryptomeria japonica (L.f.) D.Don
74,30,Q. crispula,FALSE,Quercus crispula Blume
74,30,Q. crispula,FALSE,Quercus crispula Blume
75,30,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
75,30,Broadleaves,FALSE,Aesculus turbinata Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,30,Q. crispula,TRUE,Quercus crispula Blume
75,10,Broadleaves,FALSE,Alnus hirsuta (Spach) Turcz. ex Rupr.  var. sibirica (Spach) C.K.Schneid.
76,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
76,10,Broadleaves,FALSE,Acer pictum Thunb.  subsp. dissectum (Wesm.) H.Ohashi
